id,article_id,comment,commented_by,posted_datetime
c53434,a000808,"""Your goal: cause terror. Make the American people notice. Inflict lasting damage on the U.S. economy. Change the political landscape, or the culture. The more grandiose the goal, the better. Assume an attacker profile on the order of 9/11: 20 to 30 unskilled people, and about $500,000 with which to buy skills, equipment, etc."" Well, unskilled people are difficult to employ in a sophisticated plot to take over the country, but maybe we can go and buy some skilled labor. I just lately read an article about bio hackers and having a biolab bought from ebay in your garage: http://www.technologyreview.com/BioTech/wtr_16485,306,p1.html This is promising, especially since it declares: ""This vision of subtle bioweapons that modified behavior by targeting the nervous system -- inducing effects like temporary schizophrenia, memory loss, heightened aggression, immobilizing depression, or fear -- was irresistibly attractive to Biopreparat's senior military scientists. After Popov's defection, the research continued."" This opens up the possiblity to do economic damage and change the culture all at once. Similar research has been done before: ""Thought versus feeling"", David Jones,  Nature  386, 770-770 (24 Apr 1997). When I left the US I was much disappointed about the drop in my salary, but I was also relieved that some of the excesses of consumerism didn't follow me here. Some of these things made me think sometimes the US economy thrives entirely on bullshit, mail in rebates come to mind or the internet bubble. Now if we  assume that the US economy thrives entirely on bullshit (it doesn't but movies needn't be accurate), removing the ability in people to spread bullshit should certainly hurt the economy, also it would change the culture I guess. Now you have a bunch of terrorists go ahead bribe a russian (we need stereotypes too) scientist into cooking up some virus to prevent people from bullshitting others. Those terrorists could be foreigners, if they are comming from some poor country they don't have to worry about the virus spreading since they won't have an economy to destroy anyway. 

Well there should be some opportunity to squeeze some comedy out of the virus spreading, used car salesmen who tell their customers that this car is a hunk of junk, new car salesmen who have to tell their customers  that their new car was specifically engineered to have its first defects right after the warranty period ends, politicians who have to tell the truth, well you can think of more.   If you want to add an extra twist you could describe how some guy in a basement discovers that a vaccine could be derived from a bacterium which lives on cow dung (how obvious). He could be some 15 year old geek whose parents have some particular dishonest job and who now eyes the character change in his parents with suspicion, and wants his old parents back or something like this. 

The problem is the the whole thing was meant to be scary and now became a comedy. I would prescribe some very deadpan humor, and maybe do it as a  black and white movie, and it must start out in a bathroom.   ",kt1023,2006-04-15 05:14:00
c53435,a000808,"It's not the mechanics that's important so much as the target. You need something that will have maximum media exposure -- and in the West, that means movie stars. Target the Academy Awards presentation. How you do it is relatively unimportant. Pipe bombs under the seats? Claymore mines in the ceilings? Acid in the fire sprinkler system?  Two dozen true believers with AK47s and motorcycles? Doesn't matter, as long as you kill or injure enough famous people. All-out attack with lethal force will certainly succeed -- security is aimed at keeping out overzealous fans and random lone lunatics, not teams of soldiers.  Bonus points accrue for leaving the television crews for last. As a movie plot, the real flaw is that there's no opportunity for a single action hero to bravely save the day.",-dsr-,2006-04-15 05:26:00
c53436,a000808,"Terrorists buy large numbers of iPods, then remove their hard drives, replacing them will smaller drives and a quantity of high explosive and anthrax for good measure. The iPods are distributed over eBay, maybe inserted into regular retail channels, but slowly, surely, they spread throughout the nation. Each iPod is set to explode at a random time after a specific date, and to explode if tampered with. After the first few go off, anyone carrying an electronic device will be viewed with suspicion. Technology shares nosedive. More freedoms are eroded through new laws. The populace begins to revolt against the administration. Mayhem results. The movie ends with Steve Jobs on knees in front of a burning Statue of Liberty, iPod in his fist, screaming ""Damn you! Damn you all to hell!!""",Paul Dixon,2006-04-15 05:29:00
c53437,a000808,"Some ideas are so dumb they don't deserve further dissemination. The best responses are (1) deafening silence, or (2) indifference (""Oh, I hadn't heard,"" accompanied by the rolling of eyes.). Giving the perps more publicity just encourages them. After all, terrorists are not interested in just killing people, they really want the attention. Same with people expounding movie-plot threats. Suggestion: let future contests focus on things advancing the cause of freedom or communications security. Trying to cure stupidity is a fruitless task. You continually advance interesting ideas and concepts, particularly in the realm of how to think about security. You might want to continue focusing on that.",James B. Hickok,2006-04-15 05:46:00
c53438,a000808,"Terrorists recruit disaffected middle class kids (mostly white, but they'll take whoever) to Islam through MySpace, train them to be terrorists a-la Syriana, and start using them as suicide bombers in the US. One of them is the son of a high profile person (government official, well known corporate leader) which the story could revolve around. Now we don't know who to ""look out for"".",Michael Conlen,2006-04-15 06:45:00
c53439,a000808,"Alright this might take a few more than 30 guys but still think it is notable. Basically what happens is after years of giving foreigners our hotels, gas stations, and cab business the sleeper cells awake to cause havoc. First off the some owners of hotels and gas stations start poisoning their supplies of drinks and food. Then when people start flocking some of the other hotels they are rigged to explode and do when occupancy is at a filled state. Then the cab drivers rig all their cabs to explode and set off thousands of car bombs all over. Then as a last task the rest of the gas station owners close up and destroy gas tanks so no gas can be supplied.",JT,2006-04-15 06:51:00
c53440,a000808,"I have an actual movie plot, not from an existing movie but rather from a screenplay I wrote nearly 10 years ago.  So yes, it's copyrighted but also available for any producer who's interested!  Here it is in a nutshell… Foreign terrorists -- frustrated at not being able to infiltrate American soil and launch a large-scale terrorist attack -- hire a domestic militia to do their bidding for a price.  The militia has their own reasons for wanting to topple the American government, so they are only too eager to assist by becoming ""terrorists-for-hire"". The terrorists have learned to breed a highly concentrated and deadly form of Ricin (a poisonous protein derived from castor beans).  They fill dozens of remote-controlled bombs with huge quantities of the genetically altered Ricin, then attach these bombs to weather balloons and launch them into the atmosphere. The jet stream is headed directly over Washington, D.C., and the terrorists begin making their demands or else they'll detonate the bombs remotely via an encrypted cell phone.  If the Air Force should attempt to shoot down the balloons, built-in altimeters will cause them to detonate during free-fall.  In either event, a cloud of invisible, deadly poison will be disseminated on the wind and kill anyone who inhales even an invisibly microscopic amount. The heros board a cargo plane and catch up to one of the balloons in order to capture it in flight.  They reel it into the cargo hold of the plane and seal it into a hyperbaric chamber that will artificially maintain a constant level of air pressure inside.  The bomb is then safely taken to a facility on the ground where they attempt to learn how to disarm it. They of course fail miserably at this task, with various tragedies occurring along the way.  Ultimately, their only hope is to obtain the encrypted cell phone that the head terrorist plans to use to detonate the bombs.  This leads to a dramatic show-down between our hero and the head terrorist, and, well, you can probably figure out how it all ends. Should you want to read the completed screenplay, I'd be happy to send you a copy Bruce!  :-)",PG,2006-04-15 07:07:00
c53442,a000808,"Movie title: ""P for Paranoia"". Intro:
Cool graphics flashing by..  accompanied by cool music, Conspiracy Dub
by Salmonella Dub..  a short flash of a person in a Muhammed mask..
with the letter ""P"" (in red) on his chest..  very scary guy.. more cool graphics... 
Directed by Donald Rumsfeld.. Produced by Fox/Disney/Time Warner..     Plot:
Blow up every home in Queens 1am Christmas Day..  ""Christmas gifts""
full of ammonium nitrate with time fuse sent to every address in Queens.
The reason of this awful act.. we will never know..    First Act:
Space.. satellites flying by.. NASA.. AOL.. NSA.. Fox.. zooming in.. earth..
zooming more in.. America.. more.. USA.. even more.. New York City.. the
Queens borough.. happy people smiling.. snow.. a white Christmas..  a little
bird flies by.. following the bird.. what a nice bird.. still following the bird.. flies
between some buildings.. over a tree.. under a small bridge.. BANG! A cloud
of feathers.. nice bird fall to the ground.. bloody kids with BB guns.. Remington..       Second Act:
Camera zooming out again.. earth.. west.. south.. New Zealand.. zooming in..
South Island.. zooming further in.. West Coast.. a bit more.. Haast.. middle
of nowhere.. only a few people live there.. scary people.. helicopter-mounted
camera create cool flyby effect.. heading south.. following a small road.. think
forest.. dark.. old rusty pickup up ahead.. driving south.. fast.. camera moving
close.. following car.. Toyota.. between the thick forest.. camera mounted on
the back of the pickup.. can only see the back of the driver.. tattoo on the
neck.. a ""P""..  ohh..         Middle of nowhere.. old farm.. very scary place.. muddy place.. car stops..
camera focusing on the door.. opens up.. P is wearing old gumboots..
camera follow the boot.. Nike.. splash.. mud all over the place.. P walks over
to the farmhouse..  opens the door.. dark inside.. gumboots of.. Homer
Simpson socks.. nice.. poster hanging on the wall.. Green Peace.. picture
of Pamela Anderson.. Save the New Zealand Whitebait (tiny fish).. red big ""P""
painted over the poster..   back to the guy.. eating Whitebait substitute..
soya-based.. in a corner piles of Christmas wrapping can be seen.. the text
on the wrapping says ""Happy Holidays"".. very political correct..  P is preparing
some food.. toast.. with Vegemite (yeast extract) and soya-based Whitebait
on top.. P walk over to a door.. searching his pockets.. probably for the key..
thinks.. ahh.. in the jacket.. gets the key.. walk back to the door.. camera
follows the key.. camera on the other side of the door.. ""looking"" through the
keyhole.. key inserted.. door is unlocked.. lights turned on.. P walk down to
the stairway.. to the basement.. dirt walls.. a rat run over the floor.. in a corner
a person.. a woman.. blond.. full of dirt.. obviously haven't had a shower in
weeks.. she turns.. Pamela Anderson.. P give her the toast.. and she actually
eats it.. P goes back up.. camera stay with Pamela.. she is wearing old rags..
Hooters Air.. keeps her warm.. she find a ""letter"".. written on toilet paper..
written by another woman.. Brigitte Bardot.. we see Brigitte.. eating toast with
Vegemite.. in the same basement.. writing the ""letter"". Blah blah blah.. French
Super Model..  blah blah blah.. baby seals.. blah blah blah.. dirty Inuits killing
the seals.. blah blah blah.. eating the meat.. so forth and so on.                       P connect to Internet.. fancy new Dell laptop.. Windows Vista.. satellites linking
up in outer space.. P start hitting the keyboard.. W.. W.. W.. (dot)..  G.. O.. O..
G.. L.. E.. (dot) C.. O.. M..
Enter the text ""New York Queens Address"" and click on a button with the name
""I'm Feeling Lucky""..  A list of everyone living in Queens appear.. P hit a link
saying ""printer friendly version"" and hit the ""Print"" button in Internet Explorer..
Annoying pop-ups appear suggesting that P should buy some Viagra and a new
Motorola cellphone.. a new Canon colour printer start printing out 666 pages..
in gray scale of course.. first page.. first name.. Arthur Andersen..         P in shed.. filled with white bags.. ammonium nitrate.. he is smoking.. mixing
ammonium nitrate with some special liquid.. type unknown.. filling bags with
the mix.. wrapping the boxes in ""Happy Holidays"" Christmas wrapping..   Third Act:
Some random love story.  Fourth Act:
Random people start singing and dancing. I guess the purpose of this is to..  no..
I do not know..  for the kids watching the movie?? Who knows?   Fifth Act:
The plot.. truckloads of ""Happy Holidays"" packages arrive in Queens.. delivered
by UPS.. 22nd December.. couriers.. DHL.. driving in new GM cars.. bring them
to the innocent people.. who happily accept it.. 24th December.. again people
are smiling.. eating the Christmas turkey.. drinking Coca Cola.. and Bud Light..
camera turn.. the Christmas tree.. zoom in on the pile of Christmas packets
under the tree.. and focus on the ""Happy Holiday"" packet.. x-ray vision..  zoom
in on the timer.. 3:00:00.. 2:59:59.. 2:59:58..        Streets are quiet.. pure white snow as far as the eye can see.. camera zoom in
a local church tower.. the time is 00:59.. bells ring.. camera zooms out..
explosions everywhere.. the sky is lit up.. more explosions..   Final Act:
Fox's News are covering the attack.. more than 5000 people dead.. awful.. awful
pictures displayed on TV.. burning suburbs..  then.. Sport.. UK Soccer..
Manchester United beat Chelsea.. Drink Gatorade..     Everyone smiling.. living happily ever after.. Bush is planning to attack Iran
because they probably had something to do with it..  Credits and music by Tomoyasu Hotei.",Oyvind Fredstie,2006-04-15 07:24:00
c53444,a000808,"Attacks that scare people are attacks that go after what is dear to one's heart. Seen from this angle, it's of course easy to absolutely TERRORIZE an American:
- Conspire with that northern Chinese sweat shop which is producing TV sets for Walmart to turn out TV's that blow up on a pre-arranged signal (eg. ten minutes into the last episode of, how ironic, the sixteenth installment of ""Survivor"")
- Found a mafia-like muslim organization that mobs restaurants into no longer serving bacon (""You cook pig, I cook your shop!"", spoken, of course, by some bearded man with that movie-plot saudi accent)
- Issue sublimal phallic messages that make Americans buy cars that are both three times as big as necessary AND only ""paid for"" with debt. Then, raise gas prices. (Ooh. Wicked!)   ",Daniel,2006-04-15 08:15:00
c53493,a000808,Snakes On A Plane already got mentioned and the Bush Administration will be in office through 2008.  Can't get more frightening than that.,Philoking,2006-04-15 11:18:00
c53445,a000808,"- Disperse the 20-30 terrorists around the United States, equipped with some sort of poison. They then visit Super Wal-Mart's and other grocery stores spraying poison on produce. A nation that can no longer trust it's food supply is in bad shape. - Start blowing up power stepping stations all across the country. They're un-defended, and not quickly replaced. Sure the grid can deal with losing one, but take out 2 or 3 per terrorist in the north east and the grid's screwed. - Hit the water supply in NYC during a heatwave. Nothing fancy like a biological agent, just blow up all the pipes leading into Manhatten and Brooklyn. The city will fix the Manhatten pipes first, the angry/thirsty people in Brooklyn will claim the fix was racially motivited and start their own civil unrest. - Blow up the hoover dam. Using a plane would probably be best as it might finally convince the populace that all of the extra security measures are pointless. Taking out the dam will screw over water & electricity supply in that region, both items very much in need. It's not very movie plot-y but the poisining food plan is my favourite. Low risk to those carrying out the actions (especially if they get like a 48-72 hour head start before anyone figgures out that food is being poisoned) so they can repeat again and again. Then possibly progress to hitting the power stepping stations. ",Paul Reinheimer,2006-04-15 08:33:00
c53446,a000808,"Lots of people check out THE book from the public library.  The data mining tool detects a pattern and compares it with the 9/11 incident. FBI is alerted, the tool ties all the lending to one trace, one phone number. The author! Book author's name is unique, not found very easily in the telephone directory. knowledge & expertise of the author is unique too and he becomes a 'subject of interest'.  The title of his book is ominous.  Portentious of the ultimate sacrifice, of the biggest price to be paid, a harbinger of final freedom from mortal coils. Beyond Fear. ",shanks,2006-04-15 08:38:00
c53447,a000808,"This is my contribution to the Contest.
--------------------------------------------------------------
Dear Bruce,   Having read the scary plots I miss something as they are all about the same – physical violence. There are worse issues to face. It's not too far fetched that we're sent 70 years back in time to the 1929 Depression where people starved and desperately started to listen to dangerous ""political religions"" creating WW2.  The successful mantras in Germany were related to the WW1 Piece in Versailles 1918 and subsequently a heavy attack against the monetary system - ruled by Taikoon Ivar Kreuger 1929-1932. This is not very difficult to repeat. Let's look into it: The terrorists don't hate common people but the System. Their attacks are made to scare people to stop their politicians in turn to open up for malicious religious take overs. If those fanatics, ( with or without scientific support by economical org. crime which wants to buy real estate and industries cheap when people no longer have access to cash ), use spywares – of the undetectable/non-ereaseable kinds of rootkits -  and when using botnet automated man-in-the-middle scenarios, the fanatics would be able to destroy our monetary system within six months. Firstly, Alice would NEVER again use her InternetBank if she got a popup frame telling her: “ Thank you Alice for using your bank account 123456 in your Online X-bank. Account is now empty. Welcome back after refill��?. Irrespectively of full banking coverage of the loss, she would not use it again. It's a Disgrace of Privacy to have an enemy in our computer. It's scary and ID-thefts can never be covered by the bank Secondly, Bob would never again use his credit card on the Internet if the similar message was popping up ��?Hi Bob. Thanks for giving us your VISA card 9876 5432 1012 3456 and other data. It's now for sale to $60 on the Internet and we will do our very best to open some new nice credits. We look fwd to see you soon again in e-commerce��?. Bob would never return to e-comm. Thirdly, regarding the InternetBank Security boxes. Those are manufactured by poor and easy bribed people in the Third World quite able to install some hidden “helpers��? into the algoritm for botnets and rootkits to match names and pwds to stolen keys. 
This can be made and it will cause a huge drainage of the Internetbanks.  It's no Uthopia that the world InternetBanks could loose hundreds of mlns of dollars around the clock and if closing the bank - the customers well flee to bank offices with depraved service. 
And the banks cannot simply leave Online services any longer. Turning point is passed. They are caught in their own development.  Who of the terrorists wouldn't like a catch of some extra $bln / week ? The crypto keys of those “security boxes��?are presently put into the std. algoritms outside the InternetBanks and probably not so very hard to steal either. I'm quite sure there are lists of the batches somewhere to steal. Somebody was able to hack and steal the ultimately protected database of CardSystems AZ for 30 mln credit card no:s in 2005. In this view it would not be very hard for them to steal some batch lists at those subcontractors processing the individual crypto keys automated into the certain numbered security boxes to be sent to the bank. Of course there are lists of this. However, I would be the very first guy to queue outside my bank to withdraw all possible cash of my assets in case this happens - or if a fraction of it happens meaning the  threat grows - and so will millions of us do as well. The borderline between demand and supply of cash will soon become a critical mass and we will see the equal situation as in Hong Kong in the 50-ties when bank of China more or less saved the enclave.  The globalization of economy will care for the impact, the DOW will fall like a stone in water and when passing 4,000 pts the Derivate Bomb will ignite. The top 3 US banks, sole,  have committed themselves in dangerous derivate undertakings presently exceeding +1.5 of TOTAL world economy (GNP). How big the global derivates' commitment  I don't dare to think of. No state or globally assembled Reserves can cover more than a fraction of this when time comes and we will have a new 1929 with scumbags purchasing highly valuable assets to a bargain. The criminal overload of sought after cash will even more reduce prices and the ""Glorious"" terrorists' promises will once more attract families with starving children. We are sitting ducks all of us!
Perhaps you shouldn't publish this tip, Bruce.  Sent by Securacharge",Securacharge,2006-04-15 08:39:00
c53454,a000808,"1) Cheap
2) Terror
3) long lasting (no one time hit)
4) Damage the USA    Send your 20/30 people across the world. Into any country they can enter easily.
Let them live and work normally.
When they have free time, they search for persons who are lone. 
And kill him/her. Leave behind a note ""For what the USA did to our country"". They do not mention the country.
And go back to work.
They prefer to kill not in the cities they work/live.
That is all.
It will last a long time.
The hints of observers (there will be sometimes) will not point to one single person.        ",ZanyScum,2006-04-15 09:14:00
c53458,a000808,The most terrifying thing I can think of is electing Dick Cheney as President; who would have Don Rumsfeld as VP and then appoint Paul Wolfowitz as Secretary of Defense followed by George W. Bush as Secretary of State.,RichieLibertarian,2006-04-15 09:29:00
c53460,a000808,"Call this plot ""Tank Men"". Strategically located around the country are fuel terminals. These terminals are owned and operated by various oil companies. The terminals contain tanks of all sizes that contain aviation fuel, gasoline, diesel, and other specialty fuels. These terminals are surronded by chain link fences and are generally in the countryside near big cities. Sometimes, they are right in the cities proper. Generally, the security at these terminals is very low or non-existent A group of terrorists buy an oil industry  reference map an locate each of the main terminals. Then an agent is assigned to each one. Each agent is given travel money, and a list of supplies to buy at a hardware store. The first is a pair of bolt cutters, the second is a pipe wrench, and the third is a box of roadside emergency flares. On the date of the attack, the agents cut the fence, approach each tank and lossen the bolts on the pipe flanges on the piping attaced to each tank at ground level so that fuel leaks into the dike surrounding each tank. After letting the dikes fill sufficiently, the agent strikes the flares and tosses them into the dikes. The resulting fires severely damage or destroy most of the tanks. No one is killed and the agents exit stage left. Since it takes about a year to rebuild each tank, all transportation in the country comes to a halt. The economy is severely disrupted and marshall law is enacted to keep the peace.",BJW,2006-04-15 09:32:00
c53461,a000808,"This on is perhaps a little closer to reality than most of the above.
If the terrorists really want to cause mass panic, they need to make the people of middle america feel unsafe. Take a town of a thousand or so somewhere in the heartland. Make sure it has a limited number of access points (say two, one for the highway coming in, one for the highway going out) and block them with semi's first thing in the morning. Wander through town just killing anyone you can get to, using conventional weapons. As soon as you are discovered, kill yourself with high explosives in the town hall.
That would pretty much cause the US to tear itself apart in a matter of days, because it can't be guarded against.   Of course, if you want to make it a movie and not a real terrorist attack you can mod it like this: The terrorist do kill a few people out of the gate, but herd most of them into the local high school (with the plan to blow them up at the end of all this). The local football hero and the science nerd (who is of course an incredibly beautiful girl that wears glasses and is unfashionable so she is picked on by everyone - probably played by Julia Styles...) manage to elude the terrorists. They manage to eliminate the terrorists one by one, but the main guy manages to trigger the timer on the bomb that is going to blow up the high school. Science nerd girl gets shot (not fatally) and football boy needs to disarm the bomb, using instructions from science nerd girl. He manages it with one second to spare. Science nerd girl manages to kill the main terrorist with a handgun that was lying next to her the whole time, just as he is about to shoot her/several small children. Football Boy and Science Nerd Girl kiss as she is loaded into the ambulance. Freedom, God and Apple Pie are saved for future generations, providing all Americans learn to use guns...",logic11,2006-04-15 09:37:00
c53466,a000808,"Terrorist electrical engineers devise a small electronic device which can be surreptitiously installed inside traffic light control systems. On a secret, synchronised, signal, all the traffic lights, in all directions, at busy junctions in major cities change to green.",Nick Rothwell,2006-04-15 09:59:00
c53469,a000808,"My idea is somewhat different and would make a good movie only if you had good leads for a human story, but if you want to create total chaos and paralysis, try the following: Get Katie Couric and whoever the other anchors are to get onto the evening news (or get Cheney to do it) and announce: ""The FBI and the CIA have determined that one third of all car accidents are caused by terrorist sabotage."" That would probably suffice, because enough people would refuse to drive for fear of being the victim of a terrorist attack (far worse than an equivalently damaging accident).  But for good measure you could create the ""Automobile Security Authority"" to monitor the operations of gas stations and repair shops across the country.... As you keep saying, it's not the damage; it's people's *reaction* to the damage.....",Esther Dyson,2006-04-15 10:02:00
c53515,a000808,"Ahmed is a disaffected youth living in Afghanistan.  He comes in contact with an al Qaeda cell that teaches him everything he needs to know to carry out a devastating attack on American soil.  At the behest of his supportive parents and the financing/connections of the terror cell, Ahmed sneaks into the United States undetected. Since his target lies in New York City,  he looks for an apartment on Craigslist and settles for moving in with two other people, a quirky, easy going Hasidic Jewish early 20s NYU student with a penchant for country music, and an up tight lapsed Catholic ibanker with a heart of gold. Ahmed has to go to great lengths to keep his AK-47 and stock of C4 hidden from his roomates for months, and in that time he's forced to absorb Amercan culture.  He watches American Idol, eats chili dogs, drinks smoothies, sees Phantom, and flirts with girls at the Remote Lounge with his roomates.  To maintain cover, he even expresses interest in taking up a job with his ibanker friend. Anyway, all of his work and patience comes to fruition, he discovers the perfect opportunity to cause terror on a subway train and unleash an explosion where it would cause untold deaths in the hundreds, destroy critical transportation infrastructure, and make Americans fear going to work for years. He hatches the plan, he's on the subway, he's ready to do the grim task set before him, his finger's on the trigger, he grits his teeth and... and... EIGHT WACKY THINGS HAPPEN ALL AT ONCE THAT CONVINCES HIM THAT HE LOVES AMERICA! [fast forward six months] Ahmed's cruising down Wall Street in his Mercedes SL55 AMG, sporting a $200 hair cut and a pair of Raybans talking to his mom in Afghanistan, assuring her that he'll carry out his plans, and that there've just been a series of setbacks.  He finally says goodbye to his mother, looks to his right, and grins. The supermodel in the passenger seat smiles back.  Ahmed looking at the camera says ""Oh Allah How I Love America!"" Roll credits. Look forward to other hillarious episodes in the series: * Ahmed's lapsed Catholic roomate becomes
a born again, his roomates can't stand the new him.  * His Hasidic jewish roomate gets signed to a country music record label, drives his roomates crazy. * Ahmed's mom comes to visit!  Ahmed convinces his supermodel girlfriend to wear a burka and sit down to dinner while his incompetent roomates charged with making dinner cause calamity in the kitchen! * And other exciting hijinks!",Michael B,2006-04-15 14:36:00
c53498,a000808,"This one's easy. We used to discuss this scenario at Bell Communications Research all the time. It's ""obvious"" and the impact will dwarf those from any conventional terrorist attack. In fact, we often wondered why terrorists never attempted it. If a terrorist wanted to do lasting and significant damage to the US, all they need to do is target a series of telecom Central Offices in the financial district of New York (though targeting a number of COs in the Beltway might also have a chaotic effect on the entire nation). Basically, all of the commerce in the world passes through the stock exchanges. These exchanges in lower Manhattan (along with the Wall Street firms that funnel dollars into the exchanges) are connected to the outside world through no more than perhaps half a dozen COs. These COs are only minimally gaurded, with an officer at a desk. The SONET rings that collect the traffic can be taken down by destroying both COs on any working and protect path. The COs are obvious and not hide-able and publically documented. For added benefit, numerous cell towers could be destroyed as well, making even marginal backup very difficult. Actually, the biggest lasting impact from 911 was due to the destruction of a CO that existed in 4 WTC along with bringingthe big Verizon CO offline on West street. This CO was ""rebooted"" several days after 911, thus allowing the exchanges to return to the world, but a targeted approach could pull Wall Street offline for many weeks or months. Nothing else compares in terms of real, lasting damage to Western economies, and this is fairly easily possible right now.",Anonymous,2006-04-15 12:17:00
c53500,a000808,"15 small groups of two man teams simultaneously hijack helicopters, fly over the largest prisons in a single state and dump boxes of knives, wire cutters, and zip guns.  Inmate riots ensue requiring the National Guard to respond.  While the Guards, police, and National Guard are dealing with that, the teams start randomly kidnapping individuals one at a time all over town, forcing them to dress in bright orange prison jumpsuits, and releasing them in front of banks with instructions to run inside and demand money...or be shot.  In the midst of that, the team members themselves dress in the orange jumsuits and actually do start robbing banks.",DavidR194,2006-04-15 12:26:00
c53501,a000808,"BREAD & CIRCUSES: seriously impair either one and you'll pit the people against the authorities/government/leaders/etc. *** BREAD: Two main current vulnerabilities ... 1. People's (disinterested) reliance on opaque and technical inspection regimes for food safety, and
2. Poor and self-interested water management.  Either singly or as a combination of efforts ... a) Infiltrate the chain of inspection for a major food industry (e.g., beef and BSE, poultry and H5N1, etc.) from the lowest most hands-on and up to the level of authority where there's no personal inspection of product.When possible, coordinate efforts to falsify records, introduce or allow pathogens, poor hygiene, and foreign substances. If the manpower is available, infiltrate the animal services community to look out for (and acquire) ""wild"" samples of big-name bugs like BSE or H5N1 when they land onshore or pop-up on their own. Once covertly acquired, introduce into the food chain.
b) Again, this involves inflitrating the upstream inspection chain for the water supply. The communities (note plural) targeted should be small (preferably much smaller than a city) but affluent and/or tourist destinations near major population centres. The key is that several all over the country must be targeted simultaneously. Contamination must focus on lax/sabotaged inspection standards that do not prohibit industrial use or color the water but pose a long term (decades) threat to human health. Certain heavy metals (e.g., lead, mercury) in low concentrations have an especially profound effect over a long term. The devastation to such prominent communities should enhance the publicity of the problem and hopefully cause an over-reaction from government. As a bonus side effect, the lack of effect on industrial use should introduce some public/private sector tension as well.  Finally, the key to BREAD is NEVER TO CALL ATTENTION TO THE PROBLEMS. A naturally defensive bureaucracy will try to hide and surreptitiously solve the problems, plus a public prone to gossip will spread the anxiety (terror) fast enough. The combination will maintain an environment for the terrorists to work as long as possible. *** CIRCUSES: Sports and television ... c) Pick any of the large popular sports (e.g., little league baseball, kids soccer, etc.) that have a low barrier (cost, access, etc.) for child participation (and parent fanaticism). Infiltrate a small, mid-to-upper middle class community completely, i.e., start businesses, have families, etc. Concentrate on building a winning team in that sport and highly publicize (and covertly arrange) corporate sponsorship, including ""importing"" (i.e., moving the family) ringers. Make sure as much publicity and marketing of the team and, especially, the sponsorship angle, is done as an example to follow, i.e., make it as much as possible to the pro version. If the model catches on in other affluent communities, let it grow until the poorer people start to grumble about cost of access and equipment. Then arrange accidents and the commensurate lawsuits to ratchet up insurance costs to completely freeze out the poor. Example: minor hockey. d) More Janet Jackson. Well not really but more of the same. Infiltrate both sides of the media morality issue. Ratchet up the extremism in the debate by arranging more high profile ""nip slips""  type incidences and the outraged over-reaction to it. Try and stick to previously innocuous forms like kids shows (especially anything educational) and nature programs (to undermine science). Make sure to call in to AM radio, write letters to government (elected and non-elected), write letters to the editor, post to blogs, email talk shows, etc., from both sides of the issue. Ignore logic and play on emotionalism, morality (not ethics), (mythical) tradition and security (think of the children). From the other side emphasize money: size of the industry as a part of GDP, number of employees, and revenue. Hopefully (from the terrorist standpoint) this result in overtly biased legislation and lawsuits galore. Side effects should be technical controls over social behaviour (V-chip) and corporate skittishness in advertising. The key to CIRCUSES is to undermine the confidence or access to the activity but NOT THE INTEREST IN IT. People still want it, but can't have it.",Sun Wu Kong,2006-04-15 12:37:00
c53502,a000808,"Here's a relatively ""easy one"": sell cheap guns at dirt prices to illegal border crossers at both the Mexican and Canadian borders to the USA. Make sure the reasons given are for things like safety against vigilantes, bandits, etc.",Sun Wu Kong,2006-04-15 12:45:00
c53504,a000808,"Seems to me targeting Walmarts all over the country on the Saturday before Christmas would certainly terrroize people.   One terrorist per Walmart, using a rental car with the driver having a fake ID.   The terrorist need not even die.    He (or she) parks the car early in the day so as to be able to park it near the main entrance, leaves it there all day, then sets off the explosives in late afternoon using a detonator attached to a cell phone, which he calls from miles away.   In the interim between parking the exlosive car and detonating it, the terrorist sends photos of children killed or severly wounded by US troops to the local newspaper, along with an appropriate press release. The same set of terrorists could repeat this act again and again until all cars were routinely searched for explosives.    And stopping all cars to seach for explosives all over the country would make commuter traffic and shopping trips crawl to a halt.",Alobar,2006-04-15 12:50:00
c53505,a000808,"First, the terrorists need to establish themselves as members of the community in population centres all over the country. As they are running their lives and businesses, a portion of the legal tender they receive and use should be modified in subtle ways as to either remove or add a false security device. For example, security threads could be obscured or removed. Watermarks could be altered. The key is to change legitimate currency into something that is doubtful though not on casual observation obviously false. After a large amount is distributed and in circulation, make sure it gets detected in a publically noisy way.",Sun Wu Kong,2006-04-15 13:02:00
c53507,a000808,"Movie plot threat
================  Five plotting young scientists take on other identities, attend junior colleges to mask their trail, then transfer to universities to study civil engineering. After receiving bachelor’s degrees, they get jobs working at municipal water treatment plants in the Washington D.C. area, where they continuously add truth serum to the D.C. water supplies feeding the White House, House, Senate and local government agencies. This results in pandemonium and widespread rioting across all 50 states as citizens realize what chumps they've been after government corruption explodes to the surface like a thousand exploding boils. NASDAQ stocks of tar and feather manufacturers and distributors rise dramatically, making the 5 plotters billionaires through option purchases.  This proves to be their undoing as the SEC has the five held without bail in a D.C. jail, where they end up drinking the water they themselves had previously tainted with truth serum.  They confess openly under its influence. The new President, after the impeachment and resignation of the entire executive branch, pardons the most serious charges against the five.  They serve the remainder of their sentences in community service picking up trash along the entire length of route 66. ",Anonymous,2006-04-15 13:13:00
